"Table 12. Class of Ownership, Number of Consumers, Sales, Revenue, and Average Retail Price","for Power Marketers and Energy Service Providers by State: Residential Sector, 2010",,,,,
 Entity , State, Class of  Ownership,Number of Consumers, Sales (megawatthours),Revenue (thousand dollars),Average Retail Price  (cents/kWh)
3 Phases Energy Services,CA,Power Marketer,122,"1,057",129,12.20
"Commerce Energy, Inc.",CA,Power Marketer,"13,815","119,825","10,066",8.40
Marin Energy Authority,CA,Power Marketer,"7,155","57,100","7,582",13.28
Consolidated Edison Sol Inc,CT,Power Marketer,"13,131","230,440","23,584",10.23
Direct Energy Services,CT,Power Marketer,"73,441","804,110","85,318",10.61
Dominion Retail Inc,CT,Power Marketer,"67,414","711,167","72,525",10.20
Energy Plus Holdings LLC,CT,Power Marketer,"25,996","244,117","26,991",11.06
"Integrys Energy Services, Inc.",CT,Power Marketer,114,"2,093",195,9.29
"MxEnergy Electric, Inc.",CT,Power Marketer,"32,232","255,008","25,861",10.14
"Public Power & Utility, Inc.",CT,Power Marketer,"59,189","522,042","51,564",9.88
"Spark Energy, LP",CT,Power Marketer,521,245,22,9.06
PEPCO Energy Services,DC,Power Marketer,112,"1,012",129,12.75
Washington Gas Energy Services,DC,Power Marketer,"3,893","39,513","4,187",10.60
Washington Gas Energy Services,DE,Power Marketer,"6,287","70,120","7,566",10.79
Blue Star Energy Services,IL,Power Marketer,526,"5,552",657,11.83
Consolidated Edison Sol Inc,MA,Power Marketer,"163,283","1,290,581","115,483",8.95
Dominion Retail Inc,MA,Power Marketer,"119,683","1,046,565","101,069",9.66
"Integrys Energy Services, Inc.",MA,Power Marketer,3,3,  * ,6.67
"MxEnergy Electric, Inc.",MA,Power Marketer,"8,554","85,535","8,945",10.46
"Public Power & Utility, Inc.",MA,Power Marketer,12,69,8,11.01
"Spark Energy, LP",MA,Power Marketer,14,107,18,16.36
"Ambit Energy, L.P.",MD,Power Marketer,"1,087","1,314",125,9.51
"Commerce Energy, Inc.",MD,Power Marketer,"1,453","13,303","1,518",11.41
Direct Energy Services,MD,Power Marketer,"16,177","83,509","7,753",9.28
Dominion Retail Inc,MD,Power Marketer,"15,972","231,828","23,742",10.24
Energy Plus Holdings LLC,MD,Power Marketer,"1,083","1,063",101,9.50
Gateway Energy Services Corporation,MD,Power Marketer,77,68,6,8.82
PEPCO Energy Services,MD,Power Marketer,265,"2,999",385,12.84
"Spark Energy, LP",MD,Power Marketer,"4,182","34,304","4,575",13.34
Washington Gas Energy Services,MD,Power Marketer,"87,250","1,163,329","122,611",10.54
"Competitive Energy Services, LLC",ME,Power Marketer,"1,897","10,134","1,301",12.84
"Integrys Energy Services, Inc.",ME,Power Marketer,"1,684","82,872","6,723",8.11
NextEra Energy Power Marketing LLC,ME,Power Marketer,"554,131","3,548,267","314,662",8.87
"Integrys Energy Services, Inc.",NH,Power Marketer,17,152,14,9.08
"Constellation NewEnergy, Inc",NJ,Power Marketer,"2,735","12,515","1,325",10.59
Dominion Retail Inc,NJ,Power Marketer,"5,784","30,964","3,284",10.61
Energy Plus Holdings LLC,NJ,Power Marketer,"4,147","3,761",383,10.19
Gateway Energy Services Corporation,NJ,Power Marketer,"8,238","77,611","8,743",11.27
"Integrys Energy Services, Inc.",NJ,Power Marketer,1,2,  * ,10.00
"Palmco Power NJ, LLC",NJ,Power Marketer,"24,713","47,759","4,695",9.83
"Public Power & Utility, Inc.",NJ,Power Marketer,42,52,6,11.73
AP Holdings LLC,NY,Power Marketer,163,"1,357",83,6.14
"Accent Energy Holdings, LLC",NY,Power Marketer,"37,636","183,393","24,996",13.63
"Agway Energy Services, LLC",NY,Power Marketer,"32,943","272,629","24,341",8.93
"Ambit Energy, L.P.",NY,Power Marketer,"103,237","749,386","66,549",8.88
Columbia Utilities Electricity,NY,Power Marketer,"26,749","164,346","21,646",13.17
Consolidated Edison Sol Inc,NY,Power Marketer,"38,648","274,479","29,018",10.57
Direct Energy Services,NY,Power Marketer,"60,497","576,326","57,278",9.94
Dominion Retail Inc,NY,Power Marketer,"2,687","19,394","1,238",6.38
Energetix,NY,Power Marketer,"53,059","485,225","34,696",7.15
"Energy Coop of New York, Inc",NY,Power Marketer,"6,589","78,471","4,551",5.80
Energy Plus Holdings LLC,NY,Power Marketer,"40,374","303,212","42,174",13.91
"Energy Services Providers, Inc.",NY,Power Marketer,"17,679","237,265","21,116",8.90
Gateway Energy Services Corporation,NY,Power Marketer,"78,332","658,478","64,100",9.73
Hudson Energy Services,NY,Power Marketer,"63,326","1,019,342","111,108",10.90
"IDT Energy, Inc.",NY,Power Marketer,"182,071","1,033,816","125,771",12.17
"Integrys Energy Services of N.Y., Inc.",NY,Power Marketer,"2,551","55,506","3,470",6.25
Just Energy New York Corp.,NY,Power Marketer,"86,396","565,540","80,946",14.31
Liberty Power Corp.,NY,Power Marketer,895,"14,699","2,147",14.61
Major Energy Electric Services,NY,Power Marketer,"9,788","74,240","7,176",9.67
"MxEnergy Electric, Inc.",NY,Power Marketer,"28,502","202,762","22,775",11.23
NOCO Electric,NY,Power Marketer,"11,122","103,082","6,551",6.36
NYSEG Solutions Inc,NY,Power Marketer,"107,945","967,087","69,042",7.14
"Public Power & Utility, Inc.",NY,Power Marketer,"1,119","5,613",610,10.87
"Robison Energy, LLC",NY,Power Marketer,"2,100","38,478","4,165",10.82
"Spark Energy, LP",NY,Power Marketer,"42,071","150,111","24,353",16.22
U.S. Energy Partners LLC,NY,Power Marketer,"1,940","17,111",996,5.82
Village of Hilton,NY,Power Marketer,"1,295","12,871",910,7.07
DPL Energy Resources,OH,Power Marketer,23,562,39,6.94
Dominion Retail Inc,OH,Power Marketer,"57,628","750,985","52,401",6.98
"Duke Energy Retail Sales, LLC",OH,Power Marketer,"39,655","483,807","36,254",7.49
First Energy Solutions Corp.,OH,Power Marketer,"894,486","8,135,208","525,653",6.46
Anthracite Power & Light,PA,Power Marketer,902,"9,345",855,9.15
Champion Energy Services,PA,Power Marketer,"2,115","13,174","1,175",8.92
"Commerce Energy, Inc.",PA,Power Marketer,"1,512","14,775","1,644",11.12
Consolidated Edison Sol Inc,PA,Power Marketer,"24,091","438,453","39,767",9.07
Direct Energy Services,PA,Power Marketer,"45,837","574,201","53,896",9.39
Dominion Retail Inc,PA,Power Marketer,"329,590","3,504,577","320,308",9.14
Energy Plus Holdings LLC,PA,Power Marketer,"3,937","20,077","1,716",8.55
First Energy Solutions Corp.,PA,Power Marketer,"9,649","79,543","6,735",8.47
Gateway Energy Services Corporation,PA,Power Marketer,"10,526","99,587","9,470",9.51
"Integrys Energy Services, Inc.",PA,Power Marketer,1,4,  * ,7.50
