 Entity , State,Class of  Ownership,Number of Consumers,Sales (megawatthours),Revenue (thousand dollars),Average Retail Price (cents/kWh)
3 Phases Renewables,CA,Power Marketer,119,"1,122",65,5.79
"Commerce Energy, Inc.",CA,Power Marketer,"11,807","101,786","7,692",7.56
Marin Energy Authority,CA,Power Marketer,"9,184","115,363","14,295",12.39
Consolidated Edison Sol Inc,CT,Power Marketer,"30,971","362,061","31,590",8.73
Direct Energy Services,CT,Power Marketer,"53,389","513,941","50,464",9.82
Dominion Retail Inc,CT,Power Marketer,"69,207","723,351","66,992",9.26
Energy Plus Holdings LLC,CT,Power Marketer,"30,959","328,094","41,235",12.57
"Integrys Energy Services, Inc.",CT,Power Marketer,255,"3,779",339,8.98
"MxEnergy Electric, Inc.",CT,Power Marketer,"51,306","401,447","37,475",9.33
"Palmco Power CT, LLC",CT,Power Marketer,"4,450","16,691","1,633",9.78
"Public Power & Utility, Inc.",CT,Power Marketer,"73,975","545,471","53,496",9.81
"Spark Energy, LP",CT,Power Marketer,"11,728","147,650","12,550",8.50
"Constellation NewEnergy, Inc",DC,Power Marketer,863,"5,421",499,9.20
GEXA Corp.,DC,Power Marketer,145,"1,088",67,6.12
Washington Gas Energy Services,DC,Power Marketer,"6,399","64,627","6,315",9.77
GEXA Corp.,DE,Power Marketer,352,"3,091",192,6.22
Washington Gas Energy Services,DE,Power Marketer,"7,204","82,786","8,171",9.87
AEP Energy,IL,Power Marketer,"1,770","18,437","2,243",12.17
"Ambit Energy Holdings, LLC",IL,Power Marketer,"9,991","32,777","2,086",6.36
Champion Energy Services,IL,Power Marketer,"1,331","14,429",932,6.46
"Constellation NewEnergy, Inc",IL,Power Marketer,"9,110","76,005","5,317",7.00
Direct Energy Services,IL,Power Marketer,"18,267","105,126","6,751",6.42
Dominion Retail Inc,IL,Power Marketer,"1,880","6,104",414,6.78
Energy Plus Holdings LLC,IL,Power Marketer,"13,162","95,650","8,411",8.79
"Energy Services Providers, Inc",IL,Power Marketer,"8,273","12,416",875,7.05
