Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
3 Phases Renewables,CA,Power Marketer,115,"1,096",63.7,5.81
"Commerce Energy, Inc.",CA,Power Marketer,"11,153","93,767","6,723.0",7.17
Marin Energy Authority,CA,Power Marketer,"40,106","277,870","23,005.3",8.28
"Ambit Energy Holdings, LLC",CT,Power Marketer,"5,008","37,388","2,834.7",7.58
Consolidated Edison Sol Inc,CT,Power Marketer,"37,500","431,419","34,431.0",7.98
Direct Energy Services,CT,Power Marketer,"62,574","539,406","45,177.3",8.38
Dominion Retail Inc,CT,Power Marketer,"70,990","704,805","59,800.0",8.48
Energy Plus Holdings LLC,CT,Power Marketer,"29,403","281,925","33,568.7",11.91
"Energy Services Providers, Inc",CT,Power Marketer,"3,025","16,361","1,353.9",8.28
"HOP Energy, LLC",CT,Power Marketer,"6,162","54,741","4,542.7",8.30
Independence Energy Group LLC,CT,Power Marketer,"1,262","7,218",635.9,8.81
"Integrys Energy Services, Inc.",CT,Power Marketer,273,"4,009",333.3,8.31
Liberty Power Corp.,CT,Power Marketer,616,"2,831",237.0,8.37
"MxEnergy Electric, Inc.",CT,Power Marketer,"43,911","366,963","31,116.0",8.48
"Palmco Power CT, LLC",CT,Power Marketer,"8,176","48,448","5,592.0",11.54
Public Power LLC (CT),CT,Power Marketer,"116,523","1,033,172","95,278.1",9.22
"Spark Energy, LP",CT,Power Marketer,"18,088","277,281","23,124.0",8.34
Viridian Energy LLC,CT,Power Marketer,"21,532","211,788","17,800.3",8.40
"XOOM Energy Connecticut, LLC",CT,Power Marketer,"4,349","37,134","2,973.8",8.01
"Constellation NewEnergy, Inc",DC,Power Marketer,"6,584","57,362","5,375.7",9.37
GEXA Corp.,DC,Power Marketer,510,"4,844",430.9,8.90
Public Power LLC (CT),DC,Power Marketer,"4,299","25,057","2,323.9",9.27
Reliant Energy Northeast LLC,DC,Power Marketer,241,"1,889",164.6,8.71
Washington Gas Energy Services,DC,Power Marketer,"7,079","71,134","6,322.0",8.89
GEXA Corp.,DE,Power Marketer,"1,564","16,839","1,515.0",9.00
Glacial Energy Holdings,DE,Power Marketer,1,837,70.9,8.47
Reliant Energy Northeast LLC,DE,Power Marketer,265,"2,622",245.8,9.37
Washington Gas Energy Services,DE,Power Marketer,"6,674","74,569","6,945.0",9.31
AEP Energy,IL,Power Marketer,"2,601","28,340","2,550.2",9.00
