Entity,State,Ownership,"Customers(Count)","Sales(Megawatthours)","Revenues(Thousands Dollars)","Average Price(cents/kWh)"
3 Phases Renewables Inc,CA,Power Marketer,88,533,38,7.13
Apple Valley Choice Energy,CA,"Community ChoiceAggregator","22,142","160,445","11,668.00",7.27
City of Solana Beach,CA,"Community ChoiceAggregator","6,259","29,723","2,016.00",6.78
Clean Power Alliance of Southern Califor,CA,"Community ChoiceAggregator","555,862","4,073,864","283,523.70",6.96
CleanPowerSF,CA,"Community ChoiceAggregator","279,665","901,547","70,881.30",7.86
"Commerce Energy, Inc.",CA,Power Marketer,"5,720","47,053","6,133.50",13.04
East Bay Community Energy,CA,"Community ChoiceAggregator","491,967","2,240,219","175,782.00",7.85
King City Community Power,CA,"Community ChoiceAggregator","2,718","10,711",846,7.9
Lancaster Choice Energy,CA,"Community ChoiceAggregator","43,295","306,007","22,882.00",7.48
Marin Clean Energy,CA,"Community ChoiceAggregator","422,838","2,444,322","184,815.00",7.56
Monterey Bay Community Power,CA,"Community ChoiceAggregator","228,810","1,149,941","93,337.00",8.12
Peninsula Clean Energy Authority,CA,"Community ChoiceAggregator","260,612","1,363,255","101,453.50",7.44
Pico Rivera Innovative Municipal Energy,CA,"Community ChoiceAggregator","14,901","86,845","6,473.00",7.45
Pioneer Community Energy,CA,"Community ChoiceAggregator","76,727","591,910","39,470.00",6.67
Rancho Mirage Energy Authority,CA,"Community ChoiceAggregator","11,776","137,515","10,284.00",7.48
Redwood Coast Energy Authority,CA,"Community ChoiceAggregator","47,140","313,632","24,287.20",7.74
San Jacinto Power,CA,"Community ChoiceAggregator","11,790","92,784","6,883.00",7.42
San Jose Clean Energy,CA,"Community ChoiceAggregator","226,665","1,308,858","112,651.20",8.61
Silicon Valley Clean Energy Authority,CA,"Community ChoiceAggregator","237,062","1,348,075","98,699.00",7.32
Sonoma Clean Power Authority,CA,"Community ChoiceAggregator","192,655","1,141,807","82,869.50",7.26
Valley Clean Energy Alliance,CA,"Community ChoiceAggregator","46,005","264,917","21,849.50",8.25
Aequitas Energy Inc,CT,Power Marketer,772,"7,411",839,11.32
Agera Energy LLC,CT,Power Marketer,"1,820","16,876","1,607.00",9.52
"Ambit Energy Holdings, LLC",CT,Power Marketer,"48,115","361,085","36,115.20",10
"Choice Energy, LLC d/b/a 4 Choice Energy",CT,Power Marketer,"2,570","12,032","1,761.80",14.64
Clearview Electric Inc.,CT,Power Marketer,"22,273","193,459","20,009.50",10.34
"Constellation NewEnergy, Inc",CT,Power Marketer,"36,362","333,142","32,844.70",9.86
Direct Energy Services,CT,Power Marketer,"37,283","303,243","29,892.80",9.86
Discount Power Inc - (CT),CT,Power Marketer,"22,361","199,414","19,869.60",9.96
"ENGIE Retail, LLC",CT,Power Marketer,"6,695","68,005","6,378.10",9.38
Energy Plus Holdings LLC,CT,Power Marketer,"1,850","15,503","2,191.50",14.14
"Energy Services Providers, Inc",CT,Power Marketer,"2,901","22,305","2,541.50",11.39
Everyday Energy LLC,CT,Power Marketer,139,986,102,10.34
Great Eastern Energy,CT,Power Marketer,91,127,14.5,11.42
"HIKO Energy, LLC",CT,Power Marketer,872,676,79,11.69
Liberty Power Corp.,CT,Power Marketer,"17,126","99,887","11,492.00",11.51
Major Energy Electric Services,CT,Power Marketer,"2,849","23,546","2,314.00",9.83
"Mega Energy of New England, LLC",CT,Power Marketer,"2,046","16,636","1,734.00",10.42
"National Gas & Electric, LLC",CT,Power Marketer,59,"2,172",314.8,14.49
"North American Power and Gas, LLC",CT,Power Marketer,"26,619","243,300","28,912.10",11.88
"Perigee Energy, LLC",CT,Power Marketer,487,"3,553",269,7.57
Public Power LLC (CT),CT,Power Marketer,"28,500","272,740","28,067.20",10.29
Reliant Energy Northeast LLC,CT,Power Marketer,"4,233","31,037","3,930.30",12.66
"Spark Energy, LP",CT,Power Marketer,992,"18,457","1,971.00",10.68
"Starion Energy, Inc.",CT,Power Marketer,"10,681","83,460","8,208.30",9.84
"Sunwave Gas & Power Connecticut, Inc.",CT,Power Marketer,"7,167","76,602","7,801.00",10.18
Town Square Energy,CT,Power Marketer,"37,801","348,050","31,870.90",9.16
Verde Energy USA,CT,Power Marketer,"24,922","195,086","21,860.00",11.21
Viridian Energy LLC,CT,Power Marketer,"3,372","27,064","3,462.40",12.79
"XOOM Energy Connecticut, LLC",CT,Power Marketer,"6,863","52,323","5,149.00",9.84
Agera Energy LLC,DC,Power Marketer,54,340,29,8.53
"Ambit Energy Holdings, LLC",DC,Power Marketer,638,"5,164",559.3,10.83
"CleanChoice Energy, Inc.",DC,Power Marketer,"7,154","54,937","7,114.90",12.95
Clearview Electric Inc.,DC,Power Marketer,646,"5,701",648.2,11.37
"Constellation NewEnergy, Inc",DC,Power Marketer,"2,946","41,952","3,239.10",7.72
Direct Energy Services,DC,Power Marketer,608,"5,294",633.2,11.96
"ENGIE Retail, LLC",DC,Power Marketer,261,"1,715",125.9,7.34
"Eligo Energy, LLC",DC,Power Marketer,221,"1,815",231.6,12.76
"Energy Services Providers, Inc",DC,Power Marketer,537,"4,431",634.1,14.31
Energy.Me Midwest LLC,DC,Power Marketer,3,21,2,9.52
"Horizon Power and Light, LLC",DC,Power Marketer,248,"2,888",406,14.06
"IDT Energy, Inc.",DC,Power Marketer,"1,983","17,726","2,432.70",13.72
"Inspire Energy Holdings, LLC",DC,Power Marketer,32,8,4,50
Liberty Power Corp.,DC,Power Marketer,688,"4,390",477,10.87
