2022 Retail Power Marketers Sales- Residential,,,,,,
(Data from form EIA-861 schedule 4B),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
3 Phases Renewables Inc,CA,Retail Power Marketer,65,399,36.0,9.02
Apple Valley Choice Energy,CA,Community Choice Aggregator,"23,217","178,267","17,819.7",10.00
BPROUD,CA,Community Choice Aggregator,"15,032","15,534","1,317.4",8.48
Central Coast Community Energy,CA,Community Choice Aggregator,"379,108","1,757,498","171,867.2",9.78
Clean Energy Alliance,CA,Community Choice Aggregator,"51,875","231,058","26,356.3",11.41
Clean Power Alliance of Southern Califor,CA,Community Choice Aggregator,"719,234","5,336,999","496,706.0",9.31
CleanPowerSF,CA,Community Choice Aggregator,"352,968","1,221,826","136,051.1",11.14
Desert Community Energy,CA,Community Choice Aggregator,"28,528","229,831","31,233.7",13.59
East Bay Community Energy,CA,Community Choice Aggregator,"579,289","2,651,484","305,853.0",11.54
Energy for Palmdale's Independent Choice,CA,Community Choice Aggregator,"25,069","36,798","3,993.1",10.85
King City Community Power,CA,Community Choice Aggregator,"2,822","10,929","1,138.0",10.41
Lancaster Choice Energy,CA,Community Choice Aggregator,"45,045","354,992","37,658.1",10.61
Marin Clean Energy,CA,Community Choice Aggregator,"510,940","2,797,083","286,681.4",10.25
Orange County Power Authority,CA,Community Choice Aggregator,"123,658","145,601","16,585.4",11.39
Peninsula Clean Energy Authority,CA,Community Choice Aggregator,"277,121","1,530,250","157,815.0",10.31
Pico Rivera Innovative Municipal Energy,CA,Community Choice Aggregator,"15,168","94,572","9,675.2",10.23
"Pilot Power Group, LLC",CA,Retail Power Marketer,"4,549","30,697","4,067.0",13.25
Pioneer Community Energy,CA,Community Choice Aggregator,"125,052","942,829","103,221.8",10.95
Pomona Choice Energy (PCE),CA,Community Choice Aggregator,"35,355","231,169","24,659.4",10.67
Rancho Mirage Energy Authority,CA,Community Choice Aggregator,"12,379","144,440","15,224.0",10.54
Redwood Coast Energy Authority,CA,Community Choice Aggregator,"52,855","300,405","33,003.3",10.99
San Diego Community Power,CA,Community Choice Aggregator,"378,763","1,612,544","261,309.0",16.20
San Jacinto Power,CA,Community Choice Aggregator,"12,893","110,088","11,519.0",10.46
San Jose Clean Energy,CA,Community Choice Aggregator,"328,267","1,638,449","215,409.9",13.15
Santa Barbara Clean Energy,CA,Community Choice Aggregator,"32,325","141,977","14,485.0",10.20
Silicon Valley Clean Energy Authority,CA,Community Choice Aggregator,"246,179","1,353,155","151,419.9",11.19
Sonoma Clean Power Authority,CA,Community Choice Aggregator,"197,960","1,085,640","121,017.0",11.15
Valley Clean Energy Alliance,CA,Community Choice Aggregator,"54,358","301,363","35,784.0",11.87
"Ambit Energy Holdings, LLC",CT,Retail Power Marketer,"17,258","140,789","13,685.0",9.72
"Choice Energy, LLC",CT,Retail Power Marketer,"1,085","2,128",320.0,15.04
Clearview Electric Inc.,CT,Retail Power Marketer,46,56,5.1,9.11
"Constellation NewEnergy, Inc",CT,Retail Power Marketer,"61,127","563,997","54,728.0",9.70
Direct Energy Services,CT,Retail Power Marketer,"25,239","224,406","23,254.6",10.36
Discount Power Inc - (CT),CT,Retail Power Marketer,"3,137","16,179","1,865.4",11.53
"ENGIE Retail, LLC",CT,Retail Power Marketer,183,"1,722",158.2,9.19
Energy Plus Holdings LLC,CT,Retail Power Marketer,262,"3,303",405.0,12.26
"Energy Services Providers, Inc",CT,Retail Power Marketer,"1,352","6,977",857.0,12.28
Energywell LLC,CT,Retail Power Marketer,108,146,16.6,11.37
Everyday Energy LLC,CT,Retail Power Marketer,364,"2,007",240.1,11.96
Major Energy Electric Services,CT,Retail Power Marketer,"5,124","51,467","6,024.0",11.70
"National Gas & Electric, LLC",CT,Retail Power Marketer,18,163,13.8,8.47
"North American Power and Gas, LLC",CT,Retail Power Marketer,"8,349","70,397","9,328.0",13.25
Public Power LLC (CT),CT,Retail Power Marketer,"7,490","52,376","5,380.0",10.27
Reliant Energy Northeast LLC,CT,Retail Power Marketer,"1,350","11,247","1,484.0",13.19
"Spark Energy, LP",CT,Retail Power Marketer,52,307,45.0,14.66
"Starion Energy, Inc.",CT,Retail Power Marketer,20,29,2.3,7.93
"Sunwave Gas & Power Connecticut, Inc.",CT,Retail Power Marketer,"1,177","3,227",280.4,8.69
Town Square Energy,CT,Retail Power Marketer,"15,874","149,460","14,605.9",9.77
Verde Energy USA,CT,Retail Power Marketer,"7,606","57,359","8,188.0",14.28
Viridian Energy LLC,CT,Retail Power Marketer,"1,281","6,968",942.0,13.52
"XOOM Energy Connecticut, LLC",CT,Retail Power Marketer,"5,074","40,257","3,818.3",9.48
"Alpha Gas and Electric, LLC",DC,Retail Power Marketer,28,281,40.4,14.38
"Ambit Energy Holdings, LLC",DC,Retail Power Marketer,350,"2,987",326.0,10.91
"CleanChoice Energy, Inc.",DC,Retail Power Marketer,"9,124","66,960","13,188.0",19.70
Clearview Electric Inc.,DC,Retail Power Marketer,476,"3,990",702.7,17.61
"Constellation NewEnergy, Inc",DC,Retail Power Marketer,"1,886","15,977","1,600.4",10.02
Direct Energy Services,DC,Retail Power Marketer,784,"12,220","1,421.5",11.63
"ENGIE Retail, LLC",DC,Retail Power Marketer,43,430,32.8,7.63
"Eligo Energy, LLC",DC,Retail Power Marketer,210,"1,724",324.1,18.80
"Energy Services Providers, Inc",DC,Retail Power Marketer,282,"2,219",327.0,14.74
Energywell LLC,DC,Retail Power Marketer,2,2,0.4,20.00
"Horizon Power and Light, LLC",DC,Retail Power Marketer,183,"1,510",223.2,14.78
"IDT Energy, Inc.",DC,Retail Power Marketer,"1,340","12,551","1,937.2",15.43
"Inspire Energy Holdings, LLC",DC,Retail Power Marketer,317,"2,519",315.1,12.51
Liberty Power Corp.,DC,Retail Power Marketer,18,6,0.6,10.00
MPower Energy NJ LLC,DC,Retail Power Marketer,"1,819","13,781","2,243.3",16.28
Major Energy Electric Services,DC,Retail Power Marketer,449,"4,956",746.0,15.05
"MidAmerican Energy Services, LLC",DC,Retail Power Marketer,23,805,75.1,9.33
"NextEra Energy Services, LLC",DC,Retail Power Marketer,84,"1,011",94.1,9.31
"Palmco Power DC, LLC",DC,Retail Power Marketer,715,"4,981","1,301.2",26.12
Park Power LLC,DC,Retail Power Marketer,528,"4,310",591.5,13.72
Public Power LLC (CT),DC,Retail Power Marketer,701,"10,170","1,283.0",12.62
"RPA Energy, Inc.",DC,Retail Power Marketer,142,"1,128",201.0,17.82
Reliant Energy Northeast LLC,DC,Retail Power Marketer,389,"3,145",457.0,14.53
"Renaissance Power & Gas, Inc.",DC,Retail Power Marketer,213,"1,654",228.0,13.78
"SmartEnergy Holdings, LLC",DC,Retail Power Marketer,"3,861","28,137","5,375.2",19.10
