Entity,State,Ownership,Customers (Count),Sales (Megawatthours),"Revenues (ThousandsDollars)","Average Price(cents/kWh)"
3 Phases Renewables Inc,CA,Retail Power Marketer,60,361,47.0,13.02
Apple Valley Choice Energy,CA,Community Choice Aggregator,"23,105","142,221","22,092.0",15.53
Ava Community Energy,CA,Community Choice Aggregator,"580,320","2,443,549","353,429.3",14.46
Central Coast Community Energy,CA,Community Choice Aggregator,"381,115","1,734,537","181,793.0",10.48
Clean Energy Alliance,CA,Community Choice Aggregator,"93,621","394,352","66,864.1",16.96
Clean Power Alliance of Southern Califor,CA,Community Choice Aggregator,"729,169","4,945,549","702,156.1",14.20
CleanPowerSF,CA,Community Choice Aggregator,"353,538","1,232,473","155,304.3",12.60
Desert Community Energy,CA,Community Choice Aggregator,"28,204","197,537","39,595.6",20.04
Energy for Palmdale's Independent Choice,CA,Community Choice Aggregator,"40,295","266,880","37,763.0",14.15
King City Community Power,CA,Community Choice Aggregator,"2,852","10,727","1,684.0",15.70
Lancaster Choice Energy,CA,Community Choice Aggregator,"45,370","293,121","44,616.0",15.22
Marin Clean Energy,CA,Community Choice Aggregator,"514,764","2,795,290","417,248.7",14.93
Orange County Power Authority,CA,Community Choice Aggregator,"199,356","968,653","144,379.8",14.91
Peninsula Clean Energy Authority,CA,Community Choice Aggregator,"281,633","1,416,284","194,653.2",13.74
Pico Rivera Innovative Municipal Energy,CA,Community Choice Aggregator,"14,228","83,864","12,451.0",14.85
"Pilot Power Group, LLC",CA,Retail Power Marketer,"4,153","26,039","3,935.0",15.11
Pioneer Community Energy,CA,Community Choice Aggregator,"133,496","928,956","118,645.0",12.77
Pomona Choice Energy (PCE),CA,Community Choice Aggregator,"35,586","205,254","30,822.0",15.02
Rancho Mirage Energy Authority,CA,Community Choice Aggregator,"12,806","120,288","20,063.0",16.68
Redwood Coast Energy Authority,CA,Community Choice Aggregator,"51,825","263,935","37,566.0",14.23
San Diego Community Power,CA,Community Choice Aggregator,"761,361","2,941,195","505,176.6",17.18
San Jacinto Power,CA,Community Choice Aggregator,"13,134","90,171","13,698.0",15.19
San Jose Clean Energy,CA,Community Choice Aggregator,"312,583","1,601,576","239,803.4",14.97
Santa Barbara Clean Energy,CA,Community Choice Aggregator,"31,558","133,871","22,166.0",16.56
Silicon Valley Clean Energy Authority,CA,Community Choice Aggregator,"247,543","1,320,765","186,059.3",14.09
Sonoma Clean Power Authority,CA,Community Choice Aggregator,"198,355","1,044,135","136,770.1",13.10
Valley Clean Energy Alliance,CA,Community Choice Aggregator,"54,074","276,129","42,061.0",15.23
"Constellation NewEnergy, Inc",CT,Retail Power Marketer,"131,904","1,179,281","161,962.4",13.73
Direct Energy Services,CT,Retail Power Marketer,"55,377","485,845","63,688.3",13.11
Energy Plus Holdings LLC,CT,Retail Power Marketer,40,505,41.4,8.20
Energywell LLC,CT,Retail Power Marketer,"11,645","113,767","16,787.1",14.76
Major Energy Electric Services,CT,Retail Power Marketer,"3,691","31,217","5,272.0",16.89
"North American Power and Gas, LLC",CT,Retail Power Marketer,"5,442","41,567","10,130.0",24.37
Reliant Energy Northeast LLC,CT,Retail Power Marketer,112,"1,068",85.0,7.96
Town Square Energy,CT,Retail Power Marketer,"56,828","566,717","72,012.7",12.71
"XOOM Energy Connecticut, LLC",CT,Retail Power Marketer,"11,652","92,715","12,505.5",13.49
"Alpha Gas and Electric, LLC",DC,Retail Power Marketer,19,138,21.9,15.87
"Ambit Energy Holdings, LLC",DC,Retail Power Marketer,301,"2,446",308.4,12.61
Atlantic Energy LLC,DC,Retail Power Marketer,900,"6,947","1,517.0",21.84
"CleanChoice Energy, Inc.",DC,Retail Power Marketer,"8,139","52,428","11,438.1",21.82
Clearview Electric Inc.,DC,Retail Power Marketer,336,"2,539",666.6,26.25
"Constellation NewEnergy, Inc",DC,Retail Power Marketer,"1,539","12,573","1,501.7",11.94
Direct Energy Services,DC,Retail Power Marketer,564,"7,812","1,008.4",12.91
"Eligo Energy, LLC",DC,Retail Power Marketer,132,809,166.9,20.63
"Energy Services Providers, Inc",DC,Retail Power Marketer,197,"1,165",208.0,17.85
Energywell LLC,DC,Retail Power Marketer,5,40,5.2,13.00
"Horizon Power and Light, LLC",DC,Retail Power Marketer,159,"1,282",218.0,17.00
"IDT Energy, Inc.",DC,Retail Power Marketer,"1,073","9,613","1,567.5",16.31
"Inspire Energy Holdings, LLC",DC,Retail Power Marketer,"1,137","8,874","1,292.0",14.56
MPower Energy NJ LLC,DC,Retail Power Marketer,"2,792","19,379","3,750.5",19.35
Major Energy Electric Services,DC,Retail Power Marketer,480,"3,105",517.0,16.65
Median Energy Corp.,DC,Retail Power Marketer,364,"2,389",356.9,14.94
"MidAmerican Energy Services, LLC",DC,Retail Power Marketer,22,534,46.8,8.76
"NextEra Energy Services, LLC",DC,Retail Power Marketer,78,885,82.9,9.37
"Nordic Energy Services, LLC",DC,Retail Power Marketer,33,236,28.5,12.08
"Palmco Power DC, LLC",DC,Retail Power Marketer,552,"3,160",847.0,26.80
Park Power LLC,DC,Retail Power Marketer,273,"2,097",360.8,17.21
Public Power LLC (CT),DC,Retail Power Marketer,131,"1,584",225.5,14.24
"RPA Energy, Inc.",DC,Retail Power Marketer,77,600,156.8,26.13
Reliant Energy Northeast LLC,DC,Retail Power Marketer,238,"1,818",290.0,15.95
"Renaissance Power & Gas, Inc.",DC,Retail Power Marketer,194,"1,115",180.3,16.17
"SmartEnergy Holdings, LLC",DC,Retail Power Marketer,"3,978","24,630","4,729.9",19.20
"Stream Energy Columbia, LLC",DC,Retail Power Marketer,280,"1,968",315.0,16.01
"SunSea Energy, LLC",DC,Retail Power Marketer,"1,924","9,329","2,579.0",27.64
